prioridade,empresa,site,segmento,por_que,telefone,data_contato,quem_atendeu,controla_como_hoje,pedidos_simultaneos,frase_literal,aceitou_visita,proximo_passo
A,A F BONES LTDA,anthco.com.br,bone,ICP puro (lote + grade + arte) e tem site para pesquisar antes de ligar,,,,,,,,
A,ALLAN E ELLEN BONES PROMOCIONAIS LTDA,zenzwestern.com.br,"bone, brinde promocional",ICP puro (lote + grade + arte) e tem site para pesquisar antes de ligar,,,,,,,,
A,BETBI INDUSTRIA DE CONFECCOES E BRINDES LTDA,b2brindes.com.br,brinde promocional,ICP puro (lote + grade + arte) e tem site para pesquisar antes de ligar,,,,,,,,
A,BUNNET IND E COM DE CONFECCOES LTDA,bunnetbrindes.com.br,brinde promocional,ICP puro (lote + grade + arte) e tem site para pesquisar antes de ligar,,,,,,,,
A,C F DE SOUZA & CIA LTDA,tkmbones.com.br,bone,ICP puro (lote + grade + arte) e tem site para pesquisar antes de ligar,,,,,,,,
A,C.J. UNIFORMES LTDA,cjuniformes.com.br,uniforme,ICP puro (lote + grade + arte) e tem site para pesquisar antes de ligar,,,,,,,,
A,CONCEITUAL CONFECCOES LTDA,vitallybones.com.br,bone,ICP puro (lote + grade + arte) e tem site para pesquisar antes de ligar,,,,,,,,
A,CRIS BONES CONFECCOES E BRINDES LTDA,crisbones.com.br,"bone, brinde promocional",ICP puro (lote + grade + arte) e tem site para pesquisar antes de ligar,,,,,,,,
A,CRR BONES E CARTEIRAS LTDA,crrbonesecarteiras.tempsite.ws,bone,ICP puro (lote + grade + arte) e tem site para pesquisar antes de ligar,,,,,,,,
A,ESTACAO - IND E COM IMP E EXP DE BRINDES LTDA,italiamilano.com.br,brinde promocional,ICP puro (lote + grade + arte) e tem site para pesquisar antes de ligar,,,,,,,,
A,FASHION ART - IND E COM DE CONFECCOES LTDA,fashionartbones.com.br,bone,ICP puro (lote + grade + arte) e tem site para pesquisar antes de ligar,,,,,,,,
A,J. C. N. BONES PROMOCIONAIS LTDA,jcnbones.com.br,"bone, brinde promocional",ICP puro (lote + grade + arte) e tem site para pesquisar antes de ligar,,,,,,,,
A,JACK COSTURA MERCADO PROMOCIONAL LTDA,jackcostura.com.br,brinde promocional,ICP puro (lote + grade + arte) e tem site para pesquisar antes de ligar,,,,,,,,
A,KONNAN BONES E CAMISETAS PROMOCIONAIS LTDA,konnan.com.br,"bone, brinde promocional",ICP puro (lote + grade + arte) e tem site para pesquisar antes de ligar,,,,,,,,
A,M.G.F. BONES PROMOCIONAIS LTDA,gufer.com.br,"bone, brinde promocional",ICP puro (lote + grade + arte) e tem site para pesquisar antes de ligar,,,,,,,,
A,MURYGI ARTIGOS DO VESTUARIO,murybones.com.br,bone,ICP puro (lote + grade + arte) e tem site para pesquisar antes de ligar,,,,,,,,
